ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to
TICKET-405,High,In Progress,Peripherals,New Mouse/Keyboard request,Standard wireless peripheral set needed for workstation upgrade.,2024-11-22,,Helpdesk
TICKET-406,High,Open,Access,New employee access request,New hire needs standard access to ERP; CRM; and shared drives.,2024-12-03,,System_Admin
TICKET-407,Critical,Resolved,Peripherals,Cannot print to department printer,Printer P305 offline/not responding to job requests.,2024-11-20,2024-11-22,Network_Ops
TICKET-408,Medium,Open,Network,Shared drive access slow,Read/write speed to shared file server is unusably slow.,2024-11-19,,Helpdesk
TICKET-409,Low,In Progress,Software,New software installation request (Photoshop),Request for installation of Adobe Photoshop on Marketing Dept. workstation.,2024-11-19,,Security
TICKET-410,High,Resolved,Hardware,Desktop freezing randomly,Computer locks up; requires hard reboot 5-10 times daily.,2024-11-22,2024-11-23,IT_Support
TICKET-411,Low,Closed,Security,Firewall rule modification request,Request to open port 443 inbound to new web server IP.,2024-11-23,2024-11-25,Security
TICKET-412,Critical,In Progress,Software,Windows Update failure,Patch Tuesday updates repeatedly fail with 'Rollback changes' error.,2024-11-20,,Network_Ops
TICKET-413,Critical,Open,Messaging,Shared mailbox access needed,User requires delegate access to 'Info@company.com' mailbox.,2024-11-25,,Network_Ops
TICKET-414,Critical,Closed,Peripherals,Scanner setup required,Desk scanner needs driver installation and configuration for document management.,2024-11-17,2024-11-20,System_Admin
TICKET-415,Medium,Resolved,Access,Access denied to shared folder S:,User confirmed membership in correct AD group; but permission is denied.,2024-11-28,2024-11-30,Network_Ops
TICKET-416,Low,Resolved,Peripherals,New Mouse/Keyboard request,Standard wireless peripheral set needed for workstation upgrade.,2024-11-21,2024-11-25,System_Admin
TICKET-417,Medium,Open,Messaging,Email service down in Marketing,External/Internal email not flowing for the entire Marketing department.,2024-11-23,,Network_Ops
TICKET-418,Low,Resolved,Network,VPN slow connectivity,Experiencing intermittent packet loss and slow connection when using VPN from home.,2024-11-18,2024-11-20,Helpdesk
TICKET-419,Medium,Resolved,Network,WiFi authentication intermittent,Users on Guest network intermittently dropped; credentials re-entry required.,2024-11-25,2024-11-27,Network_Ops
TICKET-420,Medium,Resolved,Security,Suspicious network traffic alert,IDS triggered alert for unauthorized port scanning activity.,2024-11-25,2024-11-28,Security
TICKET-421,High,Open,Network,No internet access in Room 305,Port seems dead. Check wall jack and switch port patching.,2024-11-28,,Network_Ops
TICKET-422,Critical,Open,Hardware,Desktop freezing randomly,Computer locks up; requires hard reboot 5-10 times daily.,2024-11-19,,Security
TICKET-423,Low,Closed,Security,Antivirus signature outdated on endpoint,AV console reports machine requires update and is out of compliance.,2024-11-17,2024-11-21,IT_Support
TICKET-424,High,Open,Hardware,Laptop screen replacement,Screen is cracked and needs replacing ASAP. User needs loaner device.,2024-11-20,,Network_Ops
TICKET-425,Low,In Progress,Software,Office 365 licensing issue,User cannot activate Outlook after update; receiving error code 0x80041003.,2024-11-21,,Security
TICKET-426,Low,In Progress,Network,Shared drive access slow,Read/write speed to shared file server is unusably slow.,2024-11-26,,Helpdesk
TICKET-427,High,Resolved,Access,New employee access request,New hire needs standard access to ERP; CRM; and shared drives.,2024-11-18,2024-11-22,IT_Support
TICKET-428,High,Open,Server,Storage warning on File Server 1,Drive C: space dropping below 10%. Clear temporary files or extend volume.,2024-11-26,,Helpdesk
TICKET-429,Critical,In Progress,Software,New software installation request (Photoshop),Request for installation of Adobe Photoshop on Marketing Dept. workstation.,2024-11-23,,IT_Support
TICKET-430,Low,Resolved,Software,PDF editor crashing on launch,Adobe Acrobat Pro closes immediately after attempting to open any document.,2024-11-28,2024-12-03,System_Admin
TICKET-431,Critical,Resolved,Access,New employee access request,New hire needs standard access to ERP; CRM; and shared drives.,2024-11-23,2024-11-26,Security
TICKET-432,Low,Open,Hardware,Faulty webcam for meetings,Integrated camera not recognized by Windows or Teams.,2024-12-03,,System_Admin
TICKET-433,Low,Closed,Peripherals,Scanner setup required,Desk scanner needs driver installation and configuration for document management.,2024-11-20,2024-11-25,System_Admin
TICKET-434,Medium,Closed,Server,Security patch failed to deploy on 5 servers,WSUS deployment failed on a critical subset of application servers.,2024-11-17,2024-11-22,Security
TICKET-435,Medium,Resolved,Peripherals,Cannot print to department printer,Printer P305 offline/not responding to job requests.,2024-11-28,2024-11-30,Network_Ops
TICKET-436,High,Open,Access,Password reset requested,User locked out due to forgotten password. Urgent reset required.,2024-11-25,,Network_Ops
TICKET-437,High,Open,Network,No internet access in Room 305,Port seems dead. Check wall jack and switch port patching.,2024-11-15,,IT_Support
TICKET-438,Low,In Progress,Security,Firewall rule modification request,Request to open port 443 inbound to new web server IP.,2024-11-29,,IT_Support
TICKET-439,Critical,Open,Peripherals,Label printer fault,Zebra label printer feeding blank labels. Needs calibration.,2024-11-27,,System_Admin
TICKET-440,Medium,Resolved,Messaging,Shared mailbox access needed,User requires delegate access to 'Info@company.com' mailbox.,2024-11-16,2024-11-19,Security
TICKET-441,Low,Open,Server,Server rack 4 overheating alarm,Received critical temperature alarm from data centre. Requires immediate remote investigation.,2024-11-20,,Helpdesk
TICKET-442,Critical,Resolved,Hardware,Monitor cable missing,New employee setup; DVI/HDMI cable for second monitor is required.,2024-11-27,2024-12-01,System_Admin
TICKET-443,Low,Resolved,Access,Access denied to shared folder S:,User confirmed membership in correct AD group; but permission is denied.,2024-11-25,2024-11-29,IT_Support
TICKET-444,High,Open,Peripherals,New Mouse/Keyboard request,Standard wireless peripheral set needed for workstation upgrade.,2024-11-24,,Network_Ops
TICKET-445,Low,Closed,Access,New employee access request,New hire needs standard access to ERP; CRM; and shared drives.,2024-11-29,2024-12-04,Security
TICKET-446,Critical,Resolved,Messaging,Email service down in Marketing,External/Internal email not flowing for the entire Marketing department.,2024-11-25,2024-11-29,Network_Ops
TICKET-447,Medium,In Progress,Hardware,Desktop freezing randomly,Computer locks up; requires hard reboot 5-10 times daily.,2024-11-21,,Security
TICKET-448,High,Open,Network,VPN slow connectivity,Experiencing intermittent packet loss and slow connection when using VPN from home.,2024-11-16,,IT_Support
TICKET-449,Medium,Open,Messaging,Cannot send large attachments,Outlook returning an error about exceeding attachment size limit (25MB).,2024-12-03,,System_Admin
TICKET-450,Medium,Closed,Security,Antivirus signature outdated on endpoint,AV console reports machine requires update and is out of compliance.,2024-11-16,2024-11-17,System_Admin
TICKET-451,Low,Open,Software,Office 365 licensing issue,User cannot activate Outlook after update; receiving error code 0x80041003.,2024-11-22,,Network_Ops
TICKET-452,Medium,Resolved,Software,Windows Update failure,Patch Tuesday updates repeatedly fail with 'Rollback changes' error.,2024-11-25,2024-11-28,Security
TICKET-453,High,In Progress,Hardware,Laptop screen replacement,Screen is cracked and needs replacing ASAP. User needs loaner device.,2024-11-23,,Helpdesk
TICKET-454,Critical,Closed,Server,Security patch failed to deploy on 5 servers,WSUS deployment failed on a critical subset of application servers.,2024-11-27,2024-11-28,Security
TICKET-455,High,In Progress,Hardware,Laptop screen replacement,Screen is cracked and needs replacing ASAP. User needs loaner device.,2024-11-15,,IT_Support
TICKET-456,Critical,Resolved,Network,WiFi authentication intermittent,Users on Guest network intermittently dropped; credentials re-entry required.,2024-11-26,2024-12-01,System_Admin
TICKET-457,Low,Resolved,Peripherals,Cannot print to department printer,Printer P305 offline/not responding to job requests.,2024-11-24,2024-11-29,Security
TICKET-458,High,In Progress,Software,PDF editor crashing on launch,Adobe Acrobat Pro closes immediately after attempting to open any document.,2024-11-21,,IT_Support
TICKET-459,High,Open,Messaging,Spam filter tuning request,Too many false positives (legitimate emails marked as spam).,2024-12-02,,System_Admin
TICKET-460,Medium,Resolved,Server,Server rack 4 overheating alarm,Received critical temperature alarm from data centre. Requires immediate remote investigation.,2024-11-16,2024-11-18,Helpdesk
TICKET-461,Low,Closed,Network,VPN slow connectivity,Experiencing intermittent packet loss and slow connection when using VPN from home.,2024-11-26,2024-11-27,System_Admin
TICKET-462,Low,Open,Access,Password reset requested,User locked out due to forgotten password. Urgent reset required.,2024-11-20,,Security
TICKET-463,Critical,Resolved,Network,Shared drive access slow,Read/write speed to shared file server is unusably slow.,2024-11-21,2024-11-23,Security
TICKET-464,Critical,Open,Messaging,Email service down in Marketing,External/Internal email not flowing for the entire Marketing department.,2024-11-29,,Helpdesk
TICKET-465,Low,Closed,Peripherals,Label printer fault,Zebra label printer feeding blank labels. Needs calibration.,2024-11-16,2024-11-20,System_Admin
TICKET-466,Low,In Progress,Security,Antivirus signature outdated on endpoint,AV console reports machine requires update and is out of compliance.,2024-11-29,,Helpdesk
TICKET-467,Medium,Open,Access,Multi-factor authentication reset,User lost phone/authenticator device; MFA token needs reset.,2024-11-20,,System_Admin
TICKET-468,High,Resolved,Hardware,Monitor cable missing,New employee setup; DVI/HDMI cable for second monitor is required.,2024-11-18,2024-11-20,IT_Support
TICKET-469,High,In Progress,Access,Access denied to shared folder S:,User confirmed membership in correct AD group; but permission is denied.,2024-12-01,,Helpdesk
TICKET-470,Low,In Progress,Hardware,Desktop freezing randomly,Computer locks up; requires hard reboot 5-10 times daily.,2024-11-27,,IT_Support
TICKET-471,Critical,Resolved,Software,PDF editor crashing on launch,Adobe Acrobat Pro closes immediately after attempting to open any document.,2024-11-16,2024-11-20,Helpdesk
TICKET-472,Medium,Resolved,Messaging,Cannot send large attachments,Outlook returning an error about exceeding attachment size limit (25MB).,2024-11-19,2024-11-23,Security
TICKET-473,Medium,Open,Software,Office 365 licensing issue,User cannot activate Outlook after update; receiving error code 0x80041003.,2024-11-17,,Helpdesk
TICKET-474,Low,Open,Hardware,Desktop freezing randomly,Computer locks up; requires hard reboot 5-10 times daily.,2024-11-16,,Helpdesk
TICKET-475,High,In Progress,Server,Database server unresponsive,SQL server instance is not accepting connections. Check services/logs.,2024-12-04,,Helpdesk
TICKET-476,High,Open,Network,WiFi authentication intermittent,Users on Guest network intermittently dropped; credentials re-entry required.,2024-11-20,,IT_Support
TICKET-477,High,Resolved,Messaging,Email service down in Marketing,External/Internal email not flowing for the entire Marketing department.,2024-11-15,2024-11-17,System_Admin
TICKET-478,Low,In Progress,Messaging,Shared mailbox access needed,User requires delegate access to 'Info@company.com' mailbox.,2024-12-01,,Network_Ops
TICKET-479,Medium,Open,Server,Security patch failed to deploy on 5 servers,WSUS deployment failed on a critical subset of application servers.,2024-11-23,,Helpdesk
TICKET-480,Low,Resolved,Messaging,Shared mailbox access needed,User requires delegate access to 'Info@company.com' mailbox.,2024-11-18,2024-11-23,Helpdesk
TICKET-481,Low,Resolved,Messaging,Spam filter tuning request,Too many false positives (legitimate emails marked as spam).,2024-11-21,2024-11-24,Network_Ops
TICKET-482,Medium,In Progress,Hardware,Laptop screen replacement,Screen is cracked and needs replacing ASAP. User needs loaner device.,2024-11-26,,Helpdesk
TICKET-483,High,In Progress,Server,Server rack 4 overheating alarm,Received critical temperature alarm from data centre. Requires immediate remote investigation.,2024-11-27,,Helpdesk
TICKET-484,Low,Open,Hardware,Desktop freezing randomly,Computer locks up; requires hard reboot 5-10 times daily.,2024-12-02,,System_Admin
TICKET-485,Low,Closed,Access,Password reset requested,User locked out due to forgotten password. Urgent reset required.,2024-11-17,2024-11-22,Helpdesk
TICKET-486,High,In Progress,Peripherals,Scanner setup required,Desk scanner needs driver installation and configuration for document management.,2024-12-03,,Network_Ops
TICKET-487,High,In Progress,Security,Antivirus signature outdated on endpoint,AV console reports machine requires update and is out of compliance.,2024-11-20,,System_Admin
TICKET-488,Critical,Resolved,Messaging,Shared mailbox access needed,User requires delegate access to 'Info@company.com' mailbox.,2024-11-23,2024-11-27,Network_Ops
TICKET-489,Low,In Progress,Peripherals,Cannot print to department printer,Printer P305 offline/not responding to job requests.,2024-11-27,,IT_Support
TICKET-490,High,Open,Network,No internet access in Room 305,Port seems dead. Check wall jack and switch port patching.,2024-11-24,,Security
TICKET-491,High,Open,Security,Phishing reported - Account lockout,User reported suspicious email and immediately locked account for safety.,2024-12-02,,System_Admin
TICKET-492,Medium,Resolved,Hardware,Monitor cable missing,New employee setup; DVI/HDMI cable for second monitor is required.,2024-11-23,2024-11-28,IT_Support
TICKET-493,High,In Progress,Hardware,Monitor cable missing,New employee setup; DVI/HDMI cable for second monitor is required.,2024-11-21,,Helpdesk
TICKET-494,Critical,Closed,Server,Database server unresponsive,SQL server instance is not accepting connections. Check services/logs.,2024-11-28,2024-12-03,IT_Support
TICKET-495,Low,Open,Messaging,Spam filter tuning request,Too many false positives (legitimate emails marked as spam).,2024-12-02,,Security
TICKET-496,Critical,Closed,Access,Password reset requested,User locked out due to forgotten password. Urgent reset required.,2024-11-21,2024-11-24,Network_Ops
TICKET-497,Low,Resolved,Security,Suspicious network traffic alert,IDS triggered alert for unauthorized port scanning activity.,2024-11-20,2024-11-25,Network_Ops
TICKET-498,High,Open,Software,Windows Update failure,Patch Tuesday updates repeatedly fail with 'Rollback changes' error.,2024-11-26,,Helpdesk
TICKET-499,Critical,Open,Access,Multi-factor authentication reset,User lost phone/authenticator device; MFA token needs reset.,2024-12-03,,System_Admin
TICKET-500,Critical,In Progress,Peripherals,New Mouse/Keyboard request,Standard wireless peripheral set needed for workstation upgrade.,2024-11-27,,IT_Support
